L4 | Sat Jan 31 12:26:34 2026 (281 ms) | general | exiting: calling SDL_CloseAudio

L4 | Sat Jan 31 12:26:34 2026 (315 ms) | general | exiting: Deleting sceneHandler

L4 | Sat Jan 31 12:26:34 2026 (315 ms) | general | Freeing sound sprites

L4 | Sat Jan 31 12:26:34 2026 (348 ms) | general | exiting: freeing frameDrawer

L4 | Sat Jan 31 12:26:34 2026 (623 ms) | general | exiting: Deleting screen

L4 | Sat Jan 31 12:26:34 2026 (624 ms) | general | exiting: freeing drawString

L4 | Sat Jan 31 12:26:34 2026 (626 ms) | general | exiting: calling SDL_Quit()

L4 | Sat Jan 31 12:26:34 2026 (712 ms) | general | exiting: deleting screenShotPrefix

L4 | Sat Jan 31 12:26:34 2026 (712 ms) | general | exiting: Done.

L4 | Sat Jan 31 21:46:39 2026 (180 ms) | general | New game starting up
L4 | Sat Jan 31 21:46:39 2026 (180 ms) | general | Target game image size:  1280x720

L4 | Sat Jan 31 21:46:39 2026 (181 ms) | general | Ideal window dimensions:  1280x720

L4 | Sat Jan 31 21:46:39 2026 (182 ms) | general | Trying to start in window mode.
L4 | Sat Jan 31 21:46:39 2026 (182 ms) | general | Want to use largest window that fits on screen.
L4 | Sat Jan 31 21:46:39 2026 (182 ms) | general | Screen dimensions for largest-window mode:  1280x720

L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | The following frame rates are considered possible:
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 30 fps
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 60 fps
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 100 fps
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 120 fps
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 144 fps
L4 | Sat Jan 31 21:46:39 2026 (183 ms) | general | 165 fps
L4 | Sat Jan 31 21:46:39 2026 (193 ms) | general | Constructing ScreenGL with requested 1280x720, 60 fps, fullscreen(0)
L4 | Sat Jan 31 21:46:39 2026 (195 ms) | general | Current screen configuration is 1920x1080 with aspect ratio 1.77
L4 | Sat Jan 31 21:46:39 2026 (195 ms) | general | All resolutions available
